54,7057
28,4449
60,8381
55,5631
23,3799
21,7365
80,6607
62,3839
29,8027
48,5057
70,3879
46,8003
42,3957
55,6251
52,7569
49,5517
31,6757
66,4659
74,7553
80,8977
68,6853
58,3837
62,4869
34,5921
59,4741
34,4673
50,2715
40,4323
39,5997
71,3541
71,6937
20,6169
46,5977
48,3375
66,4859
66,9957
33,4479
42,9947
43,6823
54,3035
36,4517
64,7587
39,7887
30,8159
53,6471
51,9251
25,8537
75,8931
21,6039
54,4977
57,7357
79,11951
43,6905
77,10047
45,3597
45,6677
58,4501
37,4835
21,2281
20,4879
38,2203
72,3795
57,5455
39,7223
46,9237
47,17117
57,5099
72,5431
80,9247
66,4389
71,7011
74,13165
59,2331
76,5317
33,2831
32,8373
59,6583
50,6429
20,5335
61,5999
42,5013
22,5515
37,3821
71,5745
35,5915
55,7653
74,4109
77,10757
23,8709
36,4891
50,4945
30,2979
61,4203
48,3569
74,5089
59,5521
36,6769
77,5715
22,4733
51,8453
20,2297
46,17363
75,5513
73,5909
73,8285
42,13145
41,4879
80,10221
45,5691
21,5319
24,3387
35,6983
58,5033
68,10837
31,2589
51,7661
67,6503
55,2941
57,8859
36,3713
43,6015
79,7865
47,2795
71,4621
38,3681
32,6753
52,5039
60,3283
28,7357
39,4877
61,5429
43,7433
40,5441
79,6773
24,8237
70,4885
58,7723
62,7769
52,7839
44,8295
80,3271
50,9517
76,3407
55,2985
64,5523
40,10457
32,5181
45,9957
67,6411
78,3319
49,4051
66,2949
22,3813
51,7735
25,3779
76,5045
71,8091
26,6375
64,1859
49,6917
49,9121
42,6045
73,5247
31,4973
28,4513
50,12087
40,4885
22,12243
46,4511
45,7697
59,12313
33,4215
49,3037
46,6897
51,7069
61,12475
34,8241
62,5775
50,2499
46,3003
49,3025
44,5197
34,8383
72,6629
37,8087
22,1999
45,3403
53,5703
64,7073
77,4207
73,5801
57,10563
28,5765
75,4633
72,8029
42,5155
79,4895
38,2987
69,5691
45,6515
57,5601
31,16091
26,6353
69,3013
79,3241
34,1987
38,5131
61,5857
42,4207
61,4359
56,4943
70,4785
22,5681
64,3819
54,8277
53,5221
39,1921
45,7657
49,7519
60,2537
77,8613
54,4079
37,4649
51,4273
30,4903
46,7963
42,2265
28,6713
52,7431
70,7605
56,4287
30,8309
45,3233
68,2941
71,5823
43,7041
20,7435
37,11833
75,4205
53,4077
52,3383
66,6765
41,4347
51,6337
43,9459
74,4725
46,2779
31,4817
71,11167
34,5917
59,9633
67,5775
40,14271
34,10355
60,3847
79,4887
55,7667
47,3535
70,2625
48,12649
79,7981
75,4599
